SampleID	X	Y	Size	Estimation.Type	fore_Green	back_Green	fore_Red	back_Red	Signal.to.Noise	Pvalue	FDR	Out.Index	Other.Spots	Cells
1772-067-038_B06	159	269	13	Fluorescence-based	233.52024	22.78408	19.27068	12.95991	3.30164431	8.28E-04	1.44E-03	confidence	0	1
1772-067-038_B07	167	239	19	Fluorescence-based	29.16408	22.56198	39.43791	13.4031	1.48932956	7.07E-05	1.69E-04	confidence	X = 280, Y = 222 (Green) | X = 167, Y = 239 (Red)	1
1772-067-038_B08	167	273	49	Chip.Pattern-based	23.93120273	22.75970853	13.25305627	13.40706459	0.069435345	0.999999999	1	confidence	0	0
1772-067-038_B09	169	243	22	Fluorescence-based	133.92362	23.07794	103.70867	13.31846	2.87043265	2.13E-05	6.47E-05	confidence	0	1
1772-067-038_B10	159	240	49	Chip.Pattern-based	23.88997155	22.74479804	13.69940993	13.32583066	0.067953096	0.999999999	1	confidence	0	0
1772-067-038_B11	159	270	22	Fluorescence-based	170.2798188	22.69302134	46.6279368	13.20255117	2.853821086	2.13816E-05	6.47047E-05	confidence	0	0
1772-067-038_B12	160	236	22	Fluorescence-based	54.69395	22.70411	237.90276	13.25894	4.0664845	2.15E-05	6.47E-05	confidence	0	1
1772-067-038_C01	166	267	15	Fluorescence-based	33.78772	22.7067	87.69288	13.36091	2.62667135	3.61E-04	6.79E-04	confidence	0	1
1772-067-038_C02	169	237	39	Fluorescence-based	42.39635	22.66194	103.64114	13.17783	2.8837412	2.72E-08	3.21E-07	confidence	0	1
1772-067-038_C03	169	271	33	Fluorescence-based	106.10207	22.55846	14.12524	13.29464	2.18466933	2.81E-07	2.23E-06	confidence	0	1
1772-067-038_C04	160	268	49	Chip.Pattern-based	24.92657146	22.3374378	18.46980877	13.17948451	0.457433629	0.994438681	1	confidence	0	0
1772-067-038_C05	158	234	27	Fluorescence-based	71.73662	22.6598	126.52492	12.99262	3.18804119	2.95E-06	1.40E-05	confidence	0	1
1772-067-038_C06	160	266	10	Fluorescence-based	140.5589189	22.55162718	13.32928619	13.09460852	2.587504005	0.002944635	0.004673551	confidence	0	0
1772-067-038_C07	167	233	13	Fluorescence-based	28.24992	22.57743	28.79882	13.26033	1.06324736	8.20E-04	1.44E-03	confidence	0	1
1772-067-038_C08	170	266	49	Chip.Pattern-based	23.19864335	22.51179148	13.43727911	13.46176556	0.041541698	0.999999999	1	confidence	X = 420, Y = 153 (Green) | X = 418, Y = 462 (Red)	0
1772-067-038_C09	167	232	12	Fluorescence-based	93.04671	22.31048	310.67964	13.34214	4.4417313	1.25E-03	2.09E-03	confidence	0	1
